"","Q32","Q33","Q1","Q61"
"162",3,4,"Girl",1
"163",2,3,"Boy",2
"164",2,3,"Girl",1
"165",2,3,"Boy",4
"166",4,4,"Girl",2
"167",3,5,"Girl",2
"168",3,5,"Boy",1
"169",3,3,"Boy",2
"170",3,4,"Girl",2
"171",3,3,"Girl",1
"172",2,3,"Girl",2
"173",3,3,"Girl",2
"174",3,4,"Boy",4
"175",1,3,"Boy",3
"176",3,3,"Boy",2
"177",1,5,"Girl",2
"178",4,4,"Boy",2
"179",3,3,"Boy",1
"180",2,4,"Boy",2
"181",2,4,"Boy",3
"182",2,2,"Boy",3
"183",4,4,"Girl",1
"184",3,5,"Girl",1
"185",3,4,"Girl",1
"186",1,3,"Boy",4
"187",4,5,"Girl",2
"188",4,4,"Boy",2
"189",NA,NA,"Girl",1
"190",2,NA,"Girl",1
"191",1,3,"Boy",1
"192",1,3,"Boy",1
"193",1,3,"Boy",1
"194",2,4,"Girl",2
"195",2,3,"Boy",1
"196",2,4,"Boy",1
"197",2,5,"Girl",2
"198",3,3,"Girl",2
"199",3,3,"Girl",2
"200",1,4,"Girl",1
"201",3,3,"Boy",2
"202",3,3,"Boy",2
"203",5,4,"Girl",1
"204",3,4,"Boy",2
"205",3,3,"Girl",1
"206",1,3,"Girl",1
"207",1,1,"Boy",3
"208",2,5,"Boy",2
"209",3,3,"Girl",4
"210",1,3,"Boy",1
"211",2,4,"Boy",3
"212",4,4,"Girl",1
"213",4,3,"Boy",3
"214",2,3,"Girl",2
"215",3,3,"Boy",1
"216",3,4,"Girl",1
"217",3,3,"Girl",1
"218",3,3,"Girl",NA
"219",1,4,"Boy",1
"220",2,3,"Girl",2
"221",3,3,"Boy",1
"222",1,4,"Girl",2
"223",1,3,"Boy",NA
"224",NA,NA,"Boy",NA
"225",3,4,"Boy",2
"226",2,3,"Boy",2
"227",NA,NA,"Girl",4
"228",1,3,"Boy",1
"229",1,3,"Boy",1
"230",3,3,"Boy",3
"231",2,3,"Girl",1
"232",2,3,"Girl",2
"233",1,4,"Boy",2
"234",1,2,"Boy",4
"235",3,3,"Boy",2
"236",2,5,"Girl",1
"237",1,3,"Boy",2
"238",3,2,"Boy",3
"239",3,3,"Girl",4
"240",3,4,"Girl",3
"241",1,4,"Boy",NA
"242",2,3,"Boy",2
"243",1,4,"Girl",3
"244",1,3,"Girl",1
"245",3,3,"Boy",2
"246",2,4,"Girl",2
"247",3,2,"Girl",2
"248",4,2,"Boy",4
"249",2,2,"Boy",2
"250",5,NA,"Girl",2
"251",1,3,"Girl",1
"252",1,2,"Boy",4
"253",3,3,"Boy",2
"254",1,3,"Girl",2
"255",3,3,"Boy",1
"256",3,4,"Boy",3
"257",3,4,"Boy",1
"258",3,4,"Girl",3
"259",3,3,"Girl",3
"260",2,3,"Girl",1
"261",4,5,"Girl",2
"262",2,3,"Girl",1
"263",1,4,"Girl",1
"264",1,NA,"Boy",NA
"265",2,3,"Girl",2
"266",1,3,"Girl",2
"267",3,4,"Boy",2
"268",3,5,"Girl",1
"269",2,2,"Girl",3
"270",2,2,"Boy",3
"271",1,3,"Girl",1
"272",1,2,"Boy",2
"273",4,4,"Boy",NA
"274",NA,NA,"Girl",3
"275",1,3,"Boy",3
"276",2,4,"Girl",3
"277",2,2,"Boy",2
"278",1,3,"Girl",2
"279",1,4,"Girl",2
"280",3,3,"Boy",4
"281",3,3,"Boy",3
"282",3,3,"Girl",2
"283",1,4,"Boy",1
"284",1,3,"Girl",2
"285",2,3,"Girl",2
"286",1,2,"Boy",NA
"287",1,3,"Boy",4
"288",1,3,"Girl",1
"289",1,3,"Girl",2
"290",1,3,"Boy",1
"291",2,4,"Girl",3
"292",3,3,"Boy",2
"293",3,4,"Girl",2
"294",2,4,"Girl",2
"295",2,3,"Boy",2
"296",1,3,"Boy",2
"297",1,3,"Boy",4
"298",1,3,"Girl",2
"299",3,4,"Girl",2
"300",2,4,"Boy",2
"301",1,3,"Boy",3
"302",1,3,"Boy",1
"303",1,NA,"Boy",2
"304",1,2,"Boy",3
"305",NA,NA,"Girl",3
"306",3,4,"Boy",2
"307",2,3,"Girl",1
"308",2,3,"Boy",1
"309",2,3,"Girl",2
"310",2,3,"Boy",NA
"311",3,3,"Boy",2
"312",1,3,"Boy",1
"313",1,3,"Girl",4
"314",3,2,"Boy",2
"315",1,3,"Boy",NA
"316",2,3,"Girl",2
"317",1,2,"Boy",3
"318",2,3,"Boy",4
"319",3,4,"Girl",3
"320",2,3,"Girl",3
"321",NA,3,"Girl",1
"322",3,3,"Girl",2
"323",1,3,"Boy",2
"324",1,3,"Girl",2
"325",3,3,"Girl",2
"326",1,4,"Boy",1
"327",1,1,"Boy",3
"328",1,4,"Girl",2
"329",1,3,"Boy",4
"330",1,1,"Girl",2
"331",1,2,"Girl",1
"332",2,3,"Boy",2
"333",2,3,"Girl",2
"334",1,4,"Girl",4
"335",1,2,"Girl",1
"336",2,3,"Girl",2
"337",3,2,"Boy",3
"338",1,3,"Boy",1
"339",2,4,"Boy",1
"340",1,2,"Girl",1
"341",1,3,"Boy",1
"342",2,3,"Girl",1
"343",3,3,"Girl",1
"344",1,3,"Boy",2
"345",1,4,"Girl",1
"346",1,3,"Girl",3
"347",1,4,"Girl",2
"348",1,3,"Girl",2
"349",3,3,"Boy",2
"350",1,2,"Boy",2
"351",2,4,"Girl",1
"352",3,3,"Boy",2
"353",3,2,"Girl",1
"354",2,3,"Boy",1
"355",1,2,"Girl",2
"356",1,1,"Girl",1
"357",1,3,"Girl",1
"358",1,2,"Girl",4
"359",2,2,"Girl",4
"360",2,3,"Girl",3
"361",2,3,"Boy",1
"362",1,2,"Boy",NA
"363",2,1,"Boy",3
"364",1,4,"Girl",2
"365",2,3,"Boy",3
"366",1,1,"Boy",1
"367",2,3,"Girl",3
"368",3,3,"Boy",4
"369",NA,NA,"Boy",NA
"370",1,1,"Boy",1
"371",2,3,"Girl",3
"372",1,3,"Girl",4
"373",1,3,"Boy",1
"374",3,4,"Boy",2
"375",3,4,"Boy",3
"376",3,3,"Girl",2
"377",2,4,"Girl",1
"378",1,3,"Boy",NA
"379",1,4,"Boy",2
"380",1,3,"Girl",2
"381",1,3,"Girl",2
"382",3,3,"Girl",NA
"383",2,2,"Boy",4
"384",1,3,"Girl",2
"385",1,2,"Boy",2
"386",1,4,"Girl",4
"387",NA,1,"Boy",2
"388",1,3,"Boy",2
"389",1,5,"Boy",1
"390",4,4,"Girl",4
"391",1,2,"Girl",1
"392",2,3,"Girl",2
"393",1,3,"Girl",2
"394",5,5,"Girl",4
"395",3,2,"Boy",1
"396",1,3,"Girl",3
"397",1,4,"Boy",3
"398",1,3,"Girl",2
"399",2,3,"Girl",4
"400",3,3,"Girl",4
"401",1,3,"Girl",1
"402",1,3,"Girl",3
"403",3,3,"Boy",1
"404",1,3,"Girl",2
"405",1,1,"Boy",1
"406",1,3,"Girl",1
"407",1,4,"Boy",1
"408",1,4,"Girl",2
"409",1,4,"Girl",3
"410",3,4,"Girl",2
"411",2,3,"Girl",3
"412",2,4,"Boy",1
"413",1,3,"Boy",3
"414",2,3,"Boy",1
"415",5,3,"Girl",2
"416",1,3,"Boy",1
"417",1,2,"Girl",1
"418",1,3,"Boy",NA
"419",2,3,"Girl",1
"420",3,4,"Girl",3
"421",3,5,"Boy",2
"422",3,3,"Boy",1
"423",3,2,"Girl",3
"424",1,3,"Boy",2
"425",1,2,"Girl",1
"426",1,3,"Boy",3
"427",3,4,"Girl",2
"428",3,4,"Girl",2
"429",3,3,"Boy",4
"430",2,5,"Girl",2
"431",1,3,"Girl",1
"432",1,2,"Girl",1
"433",1,3,"Girl",2
"434",2,3,"Boy",1
"435",2,3,"Girl",2
"436",2,5,"Girl",2
"437",1,3,"Boy",2
"438",1,3,"Girl",2
"439",1,3,"Boy",2
"440",3,2,"Boy",1
"441",4,5,"Girl",2
"442",1,3,"Boy",3
"443",2,3,"Girl",4
"444",3,3,"Girl",1
"445",1,3,"Boy",2
"446",1,2,"Girl",4
"447",3,2,"Girl",3
"448",3,4,"Girl",2
"449",1,3,"Girl",1
"450",3,3,"Boy",1
"451",1,4,"Girl",1
"452",1,3,"Girl",3
"453",3,3,"Girl",2
"454",2,3,"Boy",1
"455",3,2,"Girl",2
"456",1,4,"Boy",1
"457",1,4,"Girl",2
"458",3,3,"Boy",1
"459",1,3,"Girl",1
"460",2,3,"Girl",2
"461",1,3,"Boy",2
"462",1,3,"Boy",2
"463",NA,2,"Boy",NA
"464",3,3,"Girl",2
"465",1,4,"Girl",2
"466",2,3,"Boy",2
"467",1,3,"Girl",2
"468",2,1,"Girl",2
"469",2,3,"Girl",2
"470",3,2,"Girl",2
"471",2,3,"Girl",2
"472",2,2,"Boy",1
"473",2,2,"Girl",1
"474",3,2,"Boy",2
"475",3,3,"Boy",2
"476",1,3,"Girl",2
"477",3,2,"Boy",2
"478",1,5,"Girl",1
"479",1,3,"Girl",2
"480",2,2,"Girl",2
"481",2,4,"Boy",1
"482",1,5,"Girl",1
"483",1,2,"Girl",2
"484",1,4,"Girl",3
"485",1,3,"Girl",1
"486",1,3,"Girl",1
"487",1,3,"Girl",3
"488",2,2,"Girl",4
"489",3,2,"Boy",2
"490",3,4,"Boy",2
"491",3,3,"Girl",2
"492",3,3,"Girl",3
"493",3,3,"Boy",2
"494",1,4,"Girl",2
"495",2,2,"Girl",2
"496",3,3,"Boy",2
"497",2,4,"Girl",2
"498",1,5,"Girl",1
"499",2,3,"Boy",2
"500",2,3,"Boy",NA
"501",2,3,"Boy",2
"502",2,4,"Girl",1
"503",1,4,"Girl",1
"504",1,3,"Girl",2
"505",NA,2,"Boy",NA
"506",1,3,"Girl",2
"507",1,3,"Boy",2
"508",3,4,"Girl",3
"509",2,2,"Boy",1
"510",3,4,"Girl",2
"511",1,4,"Girl",2
"512",3,4,"Boy",3
"513",2,3,"Girl",3
"514",1,4,"Girl",NA
"515",1,3,"Girl",2
"516",3,2,"Girl",2
"517",3,4,"Girl",2
"518",2,3,"Girl",2
"519",3,4,"Girl",1
"520",2,2,"Girl",3
"521",1,3,"Girl",1
"522",1,4,"Boy",3
"523",3,2,"Girl",2
"524",1,3,"Girl",2
"525",1,4,"Girl",4
"526",3,3,"Girl",4
"527",1,3,"Boy",3
"528",1,4,"Girl",4
"529",3,3,"Boy",1
"530",1,3,"Girl",2
"531",3,4,"Girl",3
"532",2,3,"Boy",2
"533",2,3,"Boy",3
"534",3,3,"Girl",2
"535",2,4,"Girl",3
"536",1,4,"Girl",1
"537",3,4,"Girl",3
"538",3,4,"Boy",3
"539",5,3,"Boy",1
"540",2,3,"Girl",2
"541",1,4,"Boy",4
"542",1,3,"Girl",2
"543",1,1,"Girl",1
"544",3,3,"Girl",2
"545",3,2,"Boy",1
"546",1,3,"Boy",3
"547",2,4,"Girl",2
"548",3,3,"Boy",4
"549",3,3,"Girl",1
"550",4,5,"Girl",2
"551",1,3,"Boy",2
"552",2,2,"Boy",2
"553",2,4,"Girl",2
"554",3,3,"Girl",2
"555",2,3,"Boy",3
"556",3,4,"Girl",3
"557",3,2,"Boy",4
"558",1,3,"Boy",NA
"559",3,4,"Girl",2
"560",2,2,"Boy",3
"561",3,4,"Boy",2
"562",1,3,"Girl",2
"563",3,3,"Boy",3
"564",1,2,"Girl",1
"565",3,5,"Girl",4
"566",3,4,"Boy",2
"567",3,4,"Boy",2
"568",2,4,"Boy",2
"569",3,4,"Boy",2
"570",3,3,"Girl",2
"571",1,4,"Girl",2
"572",2,2,"Boy",1
"573",3,3,"Boy",3
"574",2,3,"Boy",1
"575",3,3,"Boy",2
"576",3,3,"Girl",2
"577",2,3,"Girl",3
"578",4,4,"Boy",3
"579",2,3,"Boy",2
"580",3,4,"Boy",1
"581",2,3,"Boy",1
"582",3,4,"Girl",3
"583",3,3,"Girl",2
"584",3,3,"Boy",2
"585",1,3,"Boy",1
"586",2,4,"Girl",2
"587",1,3,"Boy",2
"588",1,5,"Girl",1
"589",2,3,"Girl",1
"590",2,3,"Girl",2
"591",3,4,"Girl",2
"592",3,3,"Boy",2
"593",2,4,"Girl",2
"594",3,3,"Boy",2
"595",2,3,"Boy",2
"596",2,4,"Girl",1
"597",3,3,"Boy",2
"598",4,5,"Girl",2
"599",2,3,"Girl",1
"600",1,4,"Girl",3
"601",4,5,"Boy",3
"602",3,3,"Boy",3
"603",3,3,"Girl",1
"604",2,3,"Girl",1
"605",1,3,"Boy",1
"606",1,3,"Boy",4
"607",3,3,"Girl",1
"608",3,3,"Boy",2
"609",1,4,"Girl",1
"610",2,3,"Girl",3
"611",3,4,"Boy",2
"612",3,4,"Boy",3
"613",1,3,"Boy",1
"614",3,3,"Girl",2
"615",3,4,"Boy",1
"616",4,4,"Girl",3
"617",4,3,"Girl",2
"618",3,3,"Boy",2
"619",3,3,"Girl",2
"620",3,3,"Girl",2
"621",3,4,"Boy",2
"622",2,3,"Boy",3
"623",3,5,"Girl",2
"624",3,1,"Boy",4
"625",3,4,"Girl",1
"626",2,3,"Boy",2
"627",3,3,"Girl",1
"628",3,3,"Boy",3
"629",2,3,"Boy",NA
"630",3,3,"Boy",3
"631",1,4,"Girl",2
"632",3,3,"Girl",1
"633",1,3,"Boy",1
"634",3,4,"Girl",NA
"635",2,3,"Girl",2
"636",2,3,"Boy",2
"637",2,4,"Girl",1
"638",3,4,"Girl",2
"639",3,2,"Girl",2
"640",1,3,"Boy",3
"641",1,3,"Girl",1
"642",1,3,"Girl",1
"643",2,3,"Boy",1
"644",1,3,"Boy",3
"645",3,5,"Boy",3
"646",3,3,"Girl",2
"647",3,4,"Girl",1
"648",NA,NA,"Boy",2
"649",2,3,"Girl",1
"650",5,5,"Girl",2
"651",4,4,"Girl",3
"652",2,3,"Boy",2
"653",3,4,"Boy",2
"654",1,3,"Girl",1
"655",3,4,"Girl",1
"656",1,3,"Girl",2
"657",2,3,"Boy",1
"658",3,3,"Boy",2
"659",1,3,"Girl",1
"660",1,NA,"Boy",NA
"661",3,3,"Girl",2
"662",3,NA,"Boy",2
"663",1,3,"Girl",2
"664",3,5,"Girl",2
"665",2,4,"Girl",2
"666",3,3,"Boy",3
"667",2,4,"Girl",3
"668",1,3,"Boy",2
"669",3,4,"Girl",2
"670",2,3,"Girl",2
"671",2,4,"Girl",2
"672",3,2,"Girl",2
"673",1,2,"Girl",2
"674",3,5,"Girl",1
"675",3,4,"Girl",2
"676",3,NA,"Girl",2
"677",4,4,"Girl",2
"678",3,3,"Girl",1
"679",3,4,"Boy",1
"680",2,4,"Boy",1
"681",3,3,"Girl",1
"682",3,4,"Boy",1
"683",3,4,"Girl",2
"684",1,3,"Girl",1
"685",4,5,"Girl",1
"686",1,2,"Girl",1
"687",4,4,"Boy",2
"688",1,4,"Girl",1
"689",2,4,"Girl",2
"690",3,3,"Girl",2
"691",1,3,"Girl",1
"692",2,3,"Girl",1
"693",2,3,"Girl",2
"694",3,3,"Girl",3
"695",3,3,"Girl",1
"696",3,3,"Girl",2
"697",3,3,"Boy",2
"698",3,4,"Girl",4
"699",4,4,"Boy",2
"700",3,3,"Girl",2
"701",3,3,"Boy",3
"702",3,4,"Girl",3
"703",3,3,"Girl",3
"704",1,3,"Boy",3
"705",3,2,"Boy",4
"706",2,3,"Girl",3
"707",3,4,"Boy",4
"708",3,3,"Boy",2
"709",4,5,"Boy",2
"710",4,4,"Boy",3
"711",1,3,"Boy",1
"712",3,3,"Girl",2
"713",2,2,"Girl",3
"714",3,3,"Boy",3
"715",3,3,"Boy",4
"716",4,4,"Boy",2
"717",3,4,"Boy",3
"718",3,4,"Boy",2
"719",3,2,"Girl",3
"720",5,5,"Girl",3
"721",2,3,"Girl",1
"722",2,3,"Boy",3
"723",3,3,"Girl",1
"724",3,3,"Girl",3
"725",4,4,"Boy",3
"726",3,2,"Boy",3
"727",4,4,"Boy",4
"728",3,3,"Boy",3
"729",3,2,"Boy",2
"730",3,3,"Boy",3
"731",3,4,"Boy",2
"732",2,3,"Girl",1
"733",2,3,"Boy",4
"734",3,3,"Girl",2
"735",1,3,"Girl",4
"736",5,4,"Boy",4
"737",3,3,"Girl",2
"738",2,2,"Girl",2
"739",3,3,"Girl",1
"740",4,5,"Girl",1
"741",1,3,"Boy",2
"742",1,4,"Boy",2
"743",2,3,"Boy",4
"744",3,4,"Boy",2
"745",2,3,"Boy",3
"746",3,2,"Boy",2
"747",3,4,"Girl",2
"748",2,4,"Boy",1
"749",4,2,"Boy",3
"750",3,4,"Boy",3
"751",1,3,"Boy",1
"752",4,4,"Boy",3
"753",1,2,"Boy",2
"754",3,3,"Girl",2
"755",2,4,"Girl",1
"756",3,3,"Boy",2
"757",3,3,"Boy",2
"758",2,3,"Boy",2
"759",1,3,"Boy",4
"760",4,1,"Girl",3
"761",3,4,"Girl",4
"762",2,3,"Boy",1
"763",3,4,"Boy",3
"764",3,2,"Boy",1
"765",1,2,"Girl",2
"766",1,4,"Boy",2
"767",3,3,"Girl",2
"768",3,3,"Boy",2
"769",1,3,"Boy",1
"770",2,4,"Boy",2
"771",3,4,"Boy",2
"772",2,3,"Boy",1
"773",2,2,"Girl",2
"774",2,3,"Girl",1
"775",NA,NA,"Boy",1
"776",3,3,"Girl",3
"777",3,4,"Boy",1
"778",3,4,"Girl",1
"779",3,4,"Girl",2
"780",1,3,"Boy",1
"781",3,2,"Boy",2
"782",2,3,"Boy",1
"783",2,3,"Girl",1
"784",3,3,"Girl",1
"785",5,4,"Girl",1
"786",5,4,"Boy",4
"787",5,3,"Boy",1
"788",1,1,"Girl",1
"789",NA,2,"Girl",1
"790",3,3,"Boy",1
"791",1,3,"Girl",1
"792",2,2,"Boy",1
"793",NA,NA,"Girl",1
"794",2,3,"Boy",1
"795",5,2,"Girl",2
"796",3,3,"Girl",2
"797",NA,3,"Boy",3
"798",2,2,"Boy",1
"799",1,3,"Girl",2
"800",1,3,"Girl",2
"801",2,4,"Boy",2
"802",1,4,"Girl",2
"803",3,2,"Girl",2
"804",4,3,"Boy",1
"805",3,3,"Girl",3
"806",3,3,"Boy",3
"807",NA,4,"Boy",2
"808",3,1,"Girl",1
"809",2,1,"Girl",2
"810",NA,2,"Boy",1
"811",1,3,"Girl",1
"812",2,4,"Girl",2
"813",1,3,"Girl",2
"814",2,2,"Girl",2
"815",2,3,"Girl",2
"816",3,3,"Boy",3
"817",2,4,"Girl",3
"818",3,4,"Girl",2
"819",2,4,"Girl",2
"820",1,3,"Boy",2
"821",3,3,"Girl",3
"822",1,3,"Boy",1
"823",3,4,"Girl",2
"824",1,3,"Girl",2
"825",3,3,"Boy",3
"826",2,2,"Boy",2
"827",2,5,"Boy",3
"828",1,3,"Boy",3
"829",2,3,"Boy",3
"830",2,2,"Boy",3
"831",1,4,"Girl",2
"832",3,3,"Girl",3
"833",5,4,"Girl",2
"834",3,3,"Girl",3
"835",1,3,"Girl",3
"836",2,2,"Boy",1
"837",2,3,"Boy",1
"838",3,4,"Girl",2
"839",3,3,"Girl",3
"840",1,3,"Boy",4
"841",5,5,"Girl",2
"842",1,4,"Boy",2
"843",4,4,"Boy",3
"844",1,2,"Girl",4
"845",5,3,"Boy",2
"846",2,3,"Girl",1
"847",1,3,"Girl",3
"848",1,4,"Boy",3
"849",2,4,"Girl",2
"850",3,5,"Boy",2
"851",1,3,"Boy",1
"852",2,3,"Girl",2
"853",1,3,"Girl",2
"854",1,2,"Boy",1
"855",3,3,"Boy",2
"856",2,2,"Boy",2
"857",3,3,"Girl",1
"858",1,3,"Boy",3
"859",1,3,"Boy",2
"860",1,3,"Girl",1
"861",3,4,"Boy",2
"862",1,2,"Boy",1
"863",1,3,"Girl",4
"864",3,4,"Boy",3
"865",1,NA,"Boy",NA
"866",1,3,"Boy",2
"867",1,3,"Boy",2
"868",5,4,"Boy",1
"869",2,3,"Boy",1
"870",1,3,"Girl",4
"871",1,4,"Girl",2
"872",2,3,"Boy",3
"873",1,3,"Boy",1
"874",1,4,"Boy",2
"875",1,4,"Girl",2
"876",1,4,"Boy",4
"877",3,1,"Girl",2
"878",1,3,"Girl",1
"879",3,3,"Boy",2
"880",3,4,"Girl",2
"881",2,4,"Girl",3
"882",2,4,"Girl",3
"883",1,3,"Boy",1
"884",3,2,"Girl",2
"885",1,5,"Girl",2
"886",NA,4,"Boy",1
"887",1,3,"Girl",2
"888",2,3,"Girl",2
"889",2,3,"Boy",4
"890",1,3,"Girl",2
"891",3,3,"Girl",2
"892",3,4,"Girl",2
"893",1,4,"Boy",2
"894",1,3,"Boy",NA
"895",1,4,"Girl",2
"896",1,3,"Girl",2
"897",2,3,"Boy",1
"898",3,3,"Boy",1
"899",2,3,"Girl",1
"900",3,3,"Boy",1
"901",3,3,"Girl",2
"902",1,3,"Girl",2
"903",3,3,"Boy",4
"904",3,3,"Girl",2
"905",2,2,"Boy",1
"906",2,3,"Boy",1
"907",3,4,"Boy",2
"908",3,3,"Boy",1
"909",3,4,"Girl",2
"910",3,2,"Girl",2
"911",5,5,"Boy",1
"912",1,3,"Girl",2
"913",2,3,"Boy",2
"914",3,3,"Girl",1
"915",3,3,"Girl",2
"916",3,3,"Girl",1
"917",3,4,"Girl",2
"918",2,4,"Girl",1
"919",1,3,"Boy",1
"920",3,3,"Boy",1
"921",2,4,"Girl",2
"922",4,1,"Boy",1
"923",5,5,"Boy",3
"924",3,2,"Girl",2
"925",4,3,"Boy",2
"926",5,3,"Girl",3
"927",1,4,"Girl",3
"928",1,3,"Boy",2
"929",3,3,"Boy",2
"930",5,4,"Boy",3
"931",1,3,"Girl",2
"932",3,1,"Girl",NA
"933",4,3,"Girl",1
"934",3,3,"Girl",2
"935",2,3,"Girl",2
"936",3,4,"Girl",1
"937",5,3,"Boy",3
"938",2,2,"Boy",1
"939",3,3,"Boy",1
"940",2,3,"Boy",2
"941",3,4,"Girl",1
"942",3,4,"Boy",3
"943",3,3,"Boy",1
"944",3,3,"Boy",3
"945",2,4,"Boy",3
"946",1,4,"Girl",2
"947",3,3,"Girl",2
"948",1,3,"Boy",1
"949",2,3,"Girl",1
"950",4,4,"Girl",2
"951",3,4,"Boy",2
"952",2,4,"Boy",1
"953",4,4,"Boy",2
"954",1,4,"Girl",3
"955",4,5,"Girl",3
"956",3,2,"Girl",2
"957",3,4,"Girl",2
"958",2,3,"Boy",2
"959",3,3,"Boy",2
"960",3,3,"Boy",2
"961",1,3,"Girl",1
"962",4,3,"Girl",4
"963",2,4,"Boy",1
"964",1,2,"Girl",1
"965",2,4,"Boy",2
"966",3,3,"Girl",2
"967",3,3,"Girl",3
"968",3,2,"Boy",2
"969",2,3,"Boy",2
"970",1,3,"Girl",2
"971",2,4,"Girl",2
"972",3,3,"Boy",2
"973",4,4,"Boy",2
"974",4,4,"Girl",1
"975",3,3,"Girl",1
"976",3,3,"Boy",2
"977",3,3,"Girl",1
"978",NA,NA,"Boy",1
"979",4,4,"Boy",2
"980",3,3,"Girl",2
"981",2,2,"Boy",3
"982",3,4,"Girl",2
"983",2,3,"Boy",2
"984",3,3,"Girl",3
"985",4,3,"Boy",2
"986",1,4,"Boy",4
"987",NA,4,"Girl",1
"988",3,5,"Boy",1
"989",2,3,"Girl",1
"990",3,2,"Girl",2
"991",1,3,"Girl",2
"992",2,3,"Boy",2
